index,timestamp,direction,outcome,setup_score,passed_checks,chk_structure_aligned,chk_secondary_confirmation,chk_htf_aligned,chk_vwap_aligned,chk_ema_aligned,chk_rsi_not_extreme,chk_adx_trending,chk_volume_above_average,regime,htf_score,structure_type,cisd,fvg,order_block,sweep_kind,level_source,sweep_reaction,sweep_reaction_atr_ratio,bars_to_reclaim,rsi14,macd,adx,atr14,above_vwap,above_ema20,ema20_gt_ema50,volume,volume_ratio,probability,confidence,rr,risk_amount,reward_amount,time_bucket,day_of_week
955,2024-01-17T08:15:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,False,True,True,False,TRANSITION,-0.136,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_LOW,20.125,1.0986521380725955,2,44.9,-20.3867,30.55,18.3179,,False,False,0.0,,0.4541,54.5,2.0,44.1818,88.3636,MID,Wednesday
976,2024-01-18T03:45:00+00:00,BEARISH,WIN,62.5,5,True,True,True,False,True,False,True,False,BEARISH,-0.263,CHOCH,False,True,False,UPPER_SWEEP,PDL,42.65,1.295931110550672,3,18.93,-33.0989,70.69,32.9107,,False,False,0.0,,0.5259,62.9,2.0,149.0911,298.1821,OPENING,Thursday
1008,2024-01-18T06:25:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,BEARISH,-0.151,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,49.45,2.0424853473877254,3,64.91,6.9895,12.0,24.2107,,True,False,0.0,,0.4541,55.0,2.0,67.0711,134.1421,MID,Thursday
1041,2024-01-18T09:10:00+00:00,BULLISH,WIN,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,-0.138,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,55.625,2.8546575180773592,2,59.38,-4.0461,21.73,19.4857,,True,False,0.0,,0.5259,58.8,2.0,59.7486,119.4971,CLOSING,Thursday
1066,2024-01-19T05:00:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,RANGE,0.023,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,32.8833,1.3500498827857175,2,54.18,42.811,5.52,24.3571,,True,True,0.0,,0.4541,50.8,2.0,42.5357,85.0714,MID,Friday
1094,2024-01-19T07:20:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,RANGE,-0.016,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_LOW,14.225,0.9858891368531943,2,68.42,2.3794,10.13,14.4286,,True,True,0.0,,0.4541,50.1,2.0,24.0929,48.1857,MID,Friday
1126,2024-01-20T03:45:00+00:00,BULLISH,LOSS,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.053,BOS,True,True,True,LOWER_SWEEP,PDH,53.75,2.1598749482634605,3,79.61,11.7877,53.92,24.8857,,True,True,0.0,,0.5259,55.9,2.0,90.2386,180.4771,OPENING,Saturday
1144,2024-01-20T05:15:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,RANGE,0.032,CHOCH,False,True,False,LOWER_SWEEP,PDH,13.7,0.623637216119884,2,60.32,11.5885,7.3,21.9679,,True,True,0.0,,0.4541,38.5,2.0,33.9468,67.8936,MID,Saturday
1156,2024-01-20T06:15:00+00:00,BEARISH,WIN,50.0,4,True,True,False,False,True,True,False,False,RANGE,-0.009,CHOCH,True,False,False,UPPER_SWEEP,EQUAL_HIGH,7.0167,0.48909133998773213,3,39.86,1.3165,17.91,14.3464,,False,True,0.0,,0.4541,33.3,2.0,18.4846,36.9693,MID,Saturday
1195,2024-01-20T09:30:00+00:00,BEARISH,LOSS,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,-0.069,BOS,False,True,False,UPPER_SWEEP,PDL,36.95,1.9223365623731885,2,35.85,-12.782,48.28,19.2214,,False,False,0.0,,0.5259,56.5,2.0,43.5721,87.1443,CLOSING,Saturday
1209,2024-01-23T04:25:00+00:00,BEARISH,WIN,50.0,4,True,True,False,False,False,True,True,False,RANGE,0.019,CHOCH,False,False,True,UPPER_SWEEP,PDH,11.2,0.3108339508382803,1,66.27,25.2191,37.37,36.0321,,True,True,0.0,,0.4541,27.7,2.0,61.1032,122.2064,OPENING,Tuesday
1229,2024-01-23T06:05:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,-0.113,CHOCH,False,True,False,UPPER_SWEEP,PDL,17.7,0.5838135227044089,2,28.14,-28.6086,65.31,30.3179,,False,False,0.0,,0.5259,44.1,2.0,53.3818,106.7636,MID,Tuesday
